,tweet_source,tweet_text,tweet_date,tweet_vader_score,tweet_pos_score,tweet_neu_score,tweet_neg_score
77,CBS News,"“I deeply care for my students and their well-being, that's why I did what I did that day,” says Jason Seaman, the… https://t.co/vK6c4E3xEO",Mon May 28 20:00:01 +0000 2018,0.5413,0.149,0.851,0.0
78,CBS News,WATCH: A Little Caesars employee shoots and kills a suspect in clown mask who attacked him with a wooden post.… https://t.co/jQQblQEsxY,Mon May 28 19:41:13 +0000 2018,-0.8271,0.0,0.633,0.367
79,CBS News,"Without any hesitation, a Malian migrant climbed several floors to rescue a boy dangling from a fourth-floor balcon… https://t.co/ckOmWo4pD2",Mon May 28 19:24:47 +0000 2018,0.296,0.17,0.722,0.108
80,The New York Times,"""Everything they do is weird."" How Antarctic sea spiders get oxygen. https://t.co/WYIs2O5yp1",Mon May 28 23:59:00 +0000 2018,0.0,0.0,1.0,0.0
81,The New York Times,How Dostoyevsky Predicted the ‘True Crime’ Craze https://t.co/v00cczhVgH,Mon May 28 23:42:07 +0000 2018,-0.1531,0.0,0.814,0.186
82,The New York Times,‘Hair Live!’ is coming to NBC in 2019 https://t.co/fNUJ6cxilJ,Mon May 28 23:39:00 +0000 2018,0.0,0.0,1.0,0.0
83,The New York Times,RT @nytimesworld: An Afghan man who named his son Donald Trump says his life is in danger after the Taliban killed someone who helped creat…,Mon May 28 23:20:23 +0000 2018,-0.836,0.0,0.744,0.256
84,The New York Times,"Popcast: Yes, We Stuck With ‘American Idol’ https://t.co/VDv8g3RQps",Mon May 28 23:03:40 +0000 2018,0.1779,0.252,0.561,0.187
85,The New York Times,"What is Philip Roth’s best book? We asked novelists, critics and historians to make their case. https://t.co/hxDmyNUycn",Mon May 28 23:01:55 +0000 2018,0.4588,0.196,0.701,0.103
86,The New York Times,Truckers’ Strike Paralyzes Brazil as President Courts Investors https://t.co/p895sGGYJ1,Mon May 28 22:47:17 +0000 2018,-0.128,0.0,0.842,0.158
87,The New York Times,A 22-year-old migrant from Mali living in France scaled 4 stories of a building to save a child hanging from a balc… https://t.co/lraI4QCpU9,Mon May 28 22:44:24 +0000 2018,0.4939,0.158,0.842,0.0
88,The New York Times,Hurricane season’s around the corner. Here’s what to expect. https://t.co/QTzaRWmiXZ,Mon May 28 22:28:55 +0000 2018,0.0,0.0,1.0,0.0
89,The New York Times,Flip-Flops for the Greater Good https://t.co/jFDNgzUvJp,Mon May 28 22:11:12 +0000 2018,0.6597,0.574,0.426,0.0
90,The New York Times,RT @NYTNational: NASA sees the lava fields around Hawaii's Kilauea volcano as a scientific portal to Mars — and a tool for studying whether…,Mon May 28 22:02:06 +0000 2018,0.0,0.0,1.0,0.0
